,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
376,249.8,4.3,8.662482227693589,1.2935,1791.5202000000002,1.4389
377,264.5,4.3,9.172243992093492,1.2935,1791.5202000000002,1.4389
378,279.2,4.3,9.682005756493394,1.2935,1791.5202000000002,1.4389
379,293.9,4.3,10.191767520893297,1.2935,1791.5202000000002,1.4389
380,308.6,4.3,10.701529285293201,1.2935,1791.5202000000002,1.4389
381,323.3,4.3,11.211291049693104,1.2935,1791.5202000000002,1.4389
382,338.0,4.3,11.721052814093005,1.2935,1791.5202000000002,1.4389
383,352.7,4.3,12.230814578492907,1.2935,1791.5202000000002,1.4389
384,14.7,4.5,0.5166596372838465,1.2877,1819.3359999999998,1.4387
385,29.4,4.5,1.0334645669291338,1.2877,1819.613,1.4387
386,44.1,4.5,1.5502513446057582,1.2876,1819.89,1.4387
387,58.8,4.5,2.06707445686564,1.2876,1819.89,1.4387
